,Product,Portion,Category,Kkal,Protein,Fat,Carbs
0,Гречневая каша рассыпчатая,200,Каша,98.7,3.6,2.2,17.1
1,"Каша ""Янтарная""(из пшена я яблоками)",200,Каша,138.9,3.8,6.5,17.5
2,Каша боярская (из пшена с изюмом),200,Каша,221.8,4.8,14.4,19.5
3,Каша вязкая из пшена с тыквой,200,Каша,158.0,4.2,8.0,18.5
4,Каша гурьевская,200,Каша,151.2,4.4,5.4,22.6
5,Каша из тыквы с манкой,200,Каша,161.5,2.8,8.4,19.9
6,Каша манная коричневая,200,Каша,162.1,5.3,6.0,23.2
7,Каша пшенная с сушеными сливами,200,Каша,121.3,2.4,2.9,22.7
8,Каша рисовая с какао,200,Каша,146.2,4.1,6.0,20.3
9,Манная каша на клюквенном соке,200,Каша,112.7,1.9,4.6,17.0
10,Манная каша с морковью,200,Каша,97.3,2.7,5.6,9.7
11,Мучная каша,200,Каша,95.3,3.4,4.9,10.2
12,Рисовая каша с черносливом,200,Каша,128.5,1.9,2.4,26.4
13,Рисовая с абрикосами по-венгерски,200,Каша,119.7,2.6,0.3,28.5
14,Яблочно-манная каша,200,Каша,128.4,1.9,4.3,22.0
15,Яичная каша (натуральная),200,Каша,180.2,10.3,11.0,10.8
16,Яичная каша с овощами или грибами,200,Каша,261.0,15.9,13.2,20.9
17,Ячневая каша с картофелем,200,Каша,48.6,1.8,1.0,8.7
18,Абрикосовое суфле,150,Десерт,116.25,5.645,0.0347,23.11
19,Апельсиновые корзиночки с кремом,150,Десерт,118.9,3.1,8.0,9.2
20,Апельсиновый десерт,150,Десерт,56.7,0.7,0.2,14.0
21,Апельсины в ванильном соусе,150,Десерт,68.7,2.4,1.7,11.6
22,Безе,150,Десерт,234.4,1.0,0.0,61.4
23,Безе,150,Десерт,304.8,2.3,0.0,78.8
24,Бисквит из яичных белков,150,Десерт,319.2,11.1,12.3,43.7
25,Блинчики из овсяных хлопьев,150,Десерт,170.1,5.2,9.2,17.7
26,Блинчики с маком,150,Десерт,214.2,7.4,10.6,23.7
27,Блинчики с морковью,150,Десерт,105.4,4.2,5.3,11.0
28,"Блинчики с мясным, ливерным, творожным, яблочным фаршем, джемом, повидлом или вареньем",150,Десерт,278.2,13.7,18.1,16.1
29,Блинчики-полуфабрикат (оболочка),150,Десерт,153.0,6.4,4.8,22.6
30,Блины,150,Десерт,232.5,6.1,12.3,26.0
31,Блины гречневые,150,Десерт,229.1,6.8,13.1,22.3
32,Блины гурьевские,150,Десерт,178.6,6.5,8.6,19.9
33,Блины дехканские,150,Десерт,210.2,7.0,1.1,45.8
34,Блины из вареного картофеля,150,Десерт,189.2,4.0,11.9,17.6
35,Блины из капусты,150,Десерт,154.4,4.0,12.2,7.7
36,Блины из тыквы,150,Десерт,138.2,2.6,8.3,14.3
37,Блины красные,150,Десерт,174.8,4.5,13.1,10.3
38,Блины кукурузные (чечено-ингушское национальное блюдо),150,Десерт,221.0,6.1,11.8,24.0
39,Блины с квашенной капустой,150,Десерт,106.6,3.4,3.3,16.8
40,Блины славянские,150,Десерт,218.0,9.3,8.7,27.2
41,Блины со сладким соусом по-староелецки,150,Десерт,291.8,6.6,20.7,21.1
42,Блины-скородумки,150,Десерт,127.2,4.8,5.8,14.9
43,Брусника свежая с сахаром,150,Десерт,146.9,0.5,0.3,37.8
44,Ванильный крем,150,Десерт,190.6,4.5,12.8,15.2
45,Ванильный соус,150,Десерт,72.1,3.5,2.8,8.8
46,Вафли,150,Десерт,210.9,5.5,6.5,34.9
47,Вафли на вафельнице,150,Десерт,319.2,4.8,18.6,35.5
48,Взбитый лимонный соус,150,Десерт,112.4,2.0,1.2,25.0
49,Взбитый шоколадный соус,150,Десерт,114.7,5.0,4.6,14.3
50,Взбитый яблочный соус,150,Десерт,82.4,2.6,2.4,13.4
51,Вишневый мусс,150,Десерт,150.8,5.9,0.1,33.7
52,Галушки яблочные,150,Десерт,89.1,3.2,1.6,16.5
53,"Груши, начиненные творогом",150,Десерт,65.4,2.2,2.5,9.1
54,Густой шоколадный соус,150,Десерт,316.5,2.1,18.0,39.1
55,"Десерт ""Птичье молоко""",150,Десерт,289.0,5.1,13.8,38.5
56,"Десерт из сметаны ""Радуга""",150,Десерт,185.6,3.9,14.7,10.0
57,Десерт молочный (чувашское национальное блюдо),150,Десерт,222.4,5.1,5.5,40.7
58,Желе из барбариса,150,Десерт,218.2,0.0,0.0,58.2
59,Желе из водяники,150,Десерт,67.4,2.6,0.01,15.1
60,Желе из кишмиша,150,Десерт,247.0,0.0,0.0,65.9
61,"Желе из лимонов, апельсинов, мандаринов (лимон)",150,Десерт,69.4,2.6,0.03,15.6
62,Желе из молока,150,Десерт,192.1,6.3,11.1,17.9
63,Желе из плодов или ягод свежих,150,Десерт,69.1,2.5,0.04,15.6
64,Желе из сиропа плодового или ягодного,150,Десерт,10.5,2.6,0.01,0.02
65,Желе из сливок,150,Десерт,249.0,6.4,12.0,30.9
66,"Желе из экстракта плодового или ягодного, или из сока плодового или ягодного натурального (сок)",150,Десерт,82.3,2.7,0.1,18.9
67,Желе лимонное,150,Десерт,87.6,2.8,0.02,20.3
68,Желе мясное или рыбное,150,Десерт,140.0,21.7,5.7,0.6
69,Желе с плодами свежими и консервированными,150,Десерт,53.7,2.1,0.1,11.7
70,"Изюм или чернослив, или курага в медовом желе (башкирское национальное блюдо)",150,Десерт,137.2,2.8,0.2,33.2
71,Клубника с творогом,150,Десерт,77.6,6.5,1.1,11.1
72,"Клубничный ""снег""",150,Десерт,152.8,3.2,0.2,36.8
73,Клубничный пудинг,150,Десерт,75.6,2.0,1.4,14.6
74,Клюквенный мусс,150,Десерт,71.0,1.2,0.08,17.5
75,Клюквенный соус,150,Десерт,96.9,0.6,7.5,7.1
76,"Коврижка ""Диетическая""",150,Десерт,154.8,5.0,3.8,26.8
77,Козинаки,150,Десерт,419.5,2.4,19.8,61.8
78,Кофейный крем,150,Десерт,181.2,5.5,10.1,18.3
